genre_id,genres
tt0235918,"comedy, scifi, animation, family, fantasy"
tt1375670,"comedy, drama, european"
tt0265208,"comedy, romance, drama"
tt0405576,"family, comedy"
tt1152836,"action, crime, drama, history, european"
tt0277371,comedy
tt0221027,"crime, drama"
tt0448157,"fantasy, action, crime, drama"
tt0972534,"comedy, family, romance"
tt0454921,"drama, european"
tt0340855,"crime, drama, thriller, european"
tt0462499,"action, thriller, war, european"
tt0337741,"drama, comedy, romance"
tt0366551,comedy
tt0245674,"horror, thriller, fantasy"
tt1199099,"action, drama, scifi, fantasy, european"
tt1659175,"action, animation, comedy, drama, family, scifi"
tt0844471,"animation, comedy, family, fantasy, scifi, romance, drama"
tt0270792,reality
tt1530541,"drama, comedy"
tt0373883,horror
tt0994314,"scifi, action, animation, drama, war, thriller"
tt0322802,"comedy, documentation, action"
tt0839980,"comedy, sport, european"
tt0410297,"drama, thriller, fantasy, romance, documentation"
tt0830558,"crime, drama, horror, thriller"
tt1037705,"scifi, action, thriller, drama, european"
tt0450259,"drama, thriller, action"
tt0425123,"romance, drama, comedy, fantasy"
tt1220719,"drama, fantasy, comedy, history, action"
tt0478087,"crime, drama, history, thriller"
tt0758746,"horror, thriller"
tt0948103,"action, scifi, animation, comedy, drama"
tt1228987,"drama, horror, thriller, fantasy, european"
tt1285482,"scifi, reality, thriller, comedy, drama, horror, european"
tt1179056,"horror, thriller, crime, drama"
tt7396266,"animation, action, comedy, family, fantasy, thriller, european"
tt0385307,"action, comedy, crime"
tt0825232,"drama, comedy, european"
tt1710177,"action, animation, comedy, family"
tt0367413,"family, animation, action, comedy, drama, thriller, fantasy, scifi"
tt0362120,"comedy, horror"
tt0253867,"comedy, romance"
tt1341188,"comedy, drama, romance"
tt0453451,"family, comedy, european"
tt0373926,"thriller, crime, european"
tt0251160,"drama, thriller, crime"
tt1187043,"drama, comedy"
tt0267804,"thriller, action, scifi"
tt0491603,"scifi, drama, family, fantasy"
tt0324216,"horror, crime"
tt0281491,"comedy, european"
tt0312528,"family, fantasy, comedy, action"
tt0314353,"war, action, drama, thriller"
tt1231583,"comedy, drama"
tt1316554,"scifi, animation, drama, thriller, comedy, fantasy, action, horror, crime"
tt0758794,"drama, sport"
tt0346631,"thriller, sport, action, crime, drama"
tt0329101,"horror, action"
tt0385752,"action, fantasy, family"
tt0389564,"drama, scifi, thriller"
tt1234548,"comedy, war"
tt1190823,"animation, family"
tt0983983,"animation, comedy, family, european"
tt0896798,"thriller, crime"
tt1279024,"animation, comedy, drama, romance"
tt1131746,"family, comedy"
tt0385880,"animation, comedy, family, fantasy"
tt0452625,"comedy, romance"
tt0443649,"action, drama, fantasy, history, thriller"
tt1385867,"crime, action, comedy, thriller"
tt0402901,"horror, thriller, action, scifi, european"
tt0335438,"comedy, crime"
tt0363282,"comedy, crime, family, romance"
tt0398375,"romance, comedy, drama"
tt0328962,"comedy, documentation"
tt0395495,"drama, romance, comedy"
tt1882928,"drama, comedy"
tt0169102,"romance, drama, action, sport"
tt0487849,"animation, family, comedy, european"
tt1173427,"war, reality, animation, action, comedy, drama, family"
tt0272397,comedy
tt0436331,"comedy, drama, romance"
tt1386932,"drama, action, history, sport"
tt1055292,"comedy, romance, drama"
tt1321509,"comedy, drama"
tt0418647,"family, drama, sport, fantasy"
tt0477071,"thriller, drama, fantasy"
tt0367085,"romance, comedy"
tt6954486,western
tt0420294,"thriller, horror, documentation"
tt0816397,"comedy, drama, animation, romance"
tt1884856,"family, action, animation, comedy"
tt1421373,comedy
tt1587790,"scifi, animation, action, drama, war"
tt1807824,"action, scifi, family, fantasy, animation, european"
tt0790604,"family, comedy"
tt1135084,"action, crime, drama, thriller"
tt1209393,"animation, drama, action, scifi, thriller, fantasy, horror, romance"
tt1370334,"comedy, drama, romance"
tt0986264,"drama, family"
tt1314228,"comedy, drama, romance"
tt0243585,"animation, comedy, family, action, fantasy"
tt1470837,"animation, comedy, family, european"
tt1436544,"animation, comedy, family, fantasy, european"
tt0297162,"thriller, action, crime, european"
tt0417311,"action, animation, comedy, thriller, scifi, family, romance, fantasy"
tt6950338,"comedy, family, fantasy, horror, music, animation, scifi"
tt0388419,"comedy, family"
tt0772137,"drama, comedy, romance, sport"
tt1422182,"comedy, documentation"
tt1213012,"animation, family, comedy, action, romance"
tt3968668,"scifi, family, animation, action"
tt1059455,"action, drama"
tt1033796,"scifi, animation, comedy, drama"
tt5320634,"crime, thriller, drama, action, animation, romance, comedy"
tt0988982,"animation, action, fantasy, family"
tt1295085,drama
tt1003009,"fantasy, animation, family"
tt1485763,"fantasy, action, animation"
tt0402910,"crime, drama, action, thriller, european"
tt0456020,"thriller, action, drama, crime"
tt2046005,"comedy, romance, action, animation, family, fantasy, european"
tt0425601,"comedy, crime"
tt0454349,"animation, comedy, drama, family, scifi, action"
tt0417202,"documentation, crime, drama, romance, action"
tt1422032,"drama, european, history"
tt0865482,"comedy, documentation"
tt1516172,animation
tt1639426,drama
tt1423972,"thriller, drama, action, comedy, fantasy, romance"
tt1337032,"comedy, crime"
tt0320024,comedy
tt0248126,"drama, romance"
tt0347304,"drama, romance, comedy"
tt1093370,"romance, comedy, drama"
tt1673402,"horror, thriller, documentation, war, european"
tt0400234,"crime, history, action, drama"
tt6963796,"action, animation, comedy, family"
tt0449994,"romance, history, war, action, drama"
tt1524993,"action, animation, scifi, comedy, family, western"
tt1764141,drama
tt0804558,"comedy, documentation"
tt0486578,"comedy, action, crime, drama"
tt0283770,"drama, comedy"
tt0322645,"action, animation, fantasy"
tt0367110,"drama, european"
tt0443521,"comedy, crime, action, scifi, drama, thriller"
tt0985991,"animation, comedy, family, music, fantasy, european"
tt1451423,"fantasy, horror, family, comedy"
tt0405508,"drama, history, comedy, crime"
tt1585368,"drama, action"
tt0459724,drama
tt1125758,"animation, comedy, family, fantasy, european"
tt1757202,"action, drama, comedy, reality, romance, thriller"
tt0499375,"romance, documentation, drama, european"
tt1659261,"comedy, documentation"
tt0488798,"drama, action, comedy, romance, crime"
tt1390471,"comedy, documentation"
tt1188112,comedy
tt3270208,"animation, comedy, family"
tt0292490,"romance, comedy, drama"
tt0367495,"comedy, drama"
tt0284770,comedy
tt1223975,"drama, music"
tt0492472,documentation
tt1339302,"fantasy, action, drama, animation"
tt0800003,"comedy, action"
tt0492896,"drama, comedy"
tt0419058,"comedy, crime"
tt1703048,"animation, action, fantasy"
tt0274428,"romance, comedy, drama, war"
tt0484275,comedy
tt1074443,"animation, family, european"
tt1420554,"comedy, documentation"
tt1785394,"fantasy, animation, action"
tt1160524,"fantasy, animation, action"
tt0461936,"thriller, crime, action, european"
tt0464160,"comedy, drama, romance"
tt1481363,"action, comedy, drama, fantasy, animation"
tt0964516,"drama, romance"
tt0404777,"fantasy, action, comedy, thriller"
tt6958564,animation
tt2080922,"animation, comedy, european"
tt0331370,"comedy, drama"
tt1252596,"comedy, action, romance"
tt0217085,"drama, comedy, european"
tt0469589,"war, documentation"
tt1017456,"drama, action, thriller, crime, comedy"
tt0479751,"action, drama, thriller, crime"
tt0366621,"fantasy, action, animation, romance, comedy"
tt6978288,"documentation, crime"
tt6951568,documentation
tt0384116,"action, comedy, scifi"
tt1438298,"romance, drama"
tt6953650,"animation, comedy, family"
tt1291465,"drama, thriller, crime"
tt19880958,documentation
tt0473367,"drama, comedy, romance"
tt1202514,"action, drama, thriller"
tt0806102,"comedy, documentation"
tt0346723,"drama, romance"
tt0476680,"comedy, fantasy, animation, action"
tt0476884,"drama, thriller, comedy"
tt0382383,"crime, action, drama, thriller"
tt0907286,"documentation, european"
tt1260520,"action, drama, crime, thriller, comedy"
tt1324059,"comedy, drama, romance"
tt1206326,"action, comedy, animation, drama, fantasy"
tt0319020,"comedy, action, crime, drama, thriller"
tt0449999,"drama, romance"
tt0457802,"drama, family, fantasy, comedy"
tt1071815,"action, animation"
tt1345777,"thriller, comedy, drama, romance"
tt0800956,"drama, romance, comedy"
tt1233451,comedy
tt0795156,"comedy, animation"
tt1667838,"comedy, drama, romance"
tt0347473,"drama, action, comedy, romance, thriller"
tt1230448,"drama, comedy"
tt0451850,"romance, drama, fantasy, comedy"
tt1230165,"drama, music"
tt1608777,"drama, comedy, crime, romance"
tt1037116,"comedy, drama, animation, action"
tt1578261,"comedy, drama, romance"
tt1274295,"crime, drama, action, thriller"
tt0442236,"music, drama, thriller"
tt0448267,"drama, european, family, war"
tt0886539,"romance, drama, comedy"
tt1324027,comedy
tt4570986,"animation, action, comedy"
tt0791188,"fantasy, action, comedy, drama, animation"
tt0808306,"comedy, drama, romance"
tt0920464,"drama, thriller, crime"
tt1433810,drama
tt0473658,"fantasy, animation, action, comedy"
tt1483930,"comedy, family, drama, romance"
tt1327035,"comedy, drama, romance"
tt1373156,"thriller, romance, drama"
tt1185420,"drama, romance, comedy"
tt5170230,drama
tt1587263,"comedy, romance"
tt1185442,"thriller, action, drama, crime, romance, sport"
tt0355119,"romance, comedy, drama"
tt1395054,"thriller, crime, drama, romance, action"
tt1043451,"drama, comedy"
tt0396659,"animation, fantasy, action, thriller"
tt0476527,"drama, comedy, romance, thriller, crime"
tt1092005,"comedy, crime"
tt1292703,"comedy, action, crime, drama"
tt0415908,"action, thriller, horror, scifi"
tt0811066,"action, crime, drama, history"
tt0312859,"drama, war, action"
tt0417528,documentation
tt6953928,"documentation, history, war, european"
tt1242530,"comedy, drama, romance"
tt0456500,comedy
tt0780568,"war, comedy, drama, european"
tt6999072,horror
tt0885520,"romance, drama"
tt1682704,"drama, family"
tt1542960,"horror, thriller, drama"
tt0815456,"comedy, documentation"
tt1266583,drama
tt0305727,"comedy, documentation"
tt0863091,"comedy, drama, family"
tt1178658,"music, documentation"
tt1843120,"thriller, crime, drama, action"
tt0439856,comedy
tt1170399,"comedy, drama, thriller"
tt0497335,war
tt1047832,"thriller, crime, drama"
tt1428459,"drama, family, comedy"
tt1602479,"romance, comedy, drama"
tt0323013,"war, action, drama, romance"
tt8612066,"drama, comedy, romance"
tt1667724,"horror, thriller, war, action, crime"
tt9892608,animation
tt1415252,"horror, thriller, drama"
tt0270053,"comedy, drama"
tt1714832,"drama, crime, comedy"
tt1221139,"comedy, drama"
tt1447508,"drama, comedy"
tt0319736,"crime, drama, history, action"
tt3062514,reality
tt1735848,"drama, action"
tt1174041,"drama, romance, comedy"
tt0362771,"drama, comedy, romance"
tt1105733,"romance, drama, comedy"
tt0934949,"action, comedy, crime, drama"
tt0986354,"documentation, music, drama"
tt1090680,"drama, romance, european"
tt0451631,"crime, drama, action"
tt0373856,"drama, crime, action"
tt0401575,comedy
tt4304720,drama
tt1578582,drama
tt7885290,drama
tt1524539,"comedy, drama, history"
tt1722436,"comedy, documentation"
tt1333656,documentation
tt0377610,drama
tt1330525,"thriller, action"
tt1241195,"thriller, crime, drama, action"
tt2823414,drama
tt2827516,"fantasy, animation, action"
tt0422907,drama
tt1156506,"thriller, action, crime"
tt21160742,"comedy, crime, drama"
tt3530668,"drama, family, romance"
tt0348662,"thriller, horror, romance, drama"
tt0422236,"romance, thriller, action, crime, drama"
tt7131684,"drama, action"
tt1783350,"comedy, romance"
tt11194518,"drama, romance, comedy"
tt0408976,"thriller, horror, romance, drama"
tt1295909,"comedy, documentation"
tt1179781,"action, drama, thriller"
tt5295012,"action, comedy, sport, crime"
tt1094275,"war, romance, drama, history, european"
tt0297241,"comedy, action, drama, fantasy"
tt1454440,"drama, comedy, romance"
tt1020042,"documentation, crime"
tt1726871,drama
tt1397492,comedy
tt1372266,"drama, thriller, action, crime"
tt1611840,"comedy, crime, action"
tt0422934,"comedy, thriller, drama, romance"
tt1935782,drama
tt1320282,drama
tt1273218,"drama, family, comedy"
tt1392744,"drama, music, romance, comedy"
tt1120897,"drama, sport, thriller"
tt1479667,"comedy, crime, drama"
tt0922424,"drama, european"
tt0979891,"drama, comedy, romance, sport"
tt6286390,drama
tt1312156,"comedy, romance, drama"
tt0488840,"romance, drama, comedy"
tt6194390,"thriller, action, drama"
tt1351669,drama
tt9184102,drama
tt1391544,"comedy, drama"
tt1243381,"comedy, drama, romance"
tt6543110,animation
tt0923688,"drama, european"
tt6491030,"animation, action"
tt0477653,"documentation, history"
tt0990433,"drama, romance"
tt6442436,animation
tt9233832,"thriller, drama"
tt1686795,"drama, family, romance"
tt0468458,drama
tt0368190,"drama, family"
tt1586680,"drama, comedy"
tt1636826,comedy
tt1790885,"thriller, drama, history, war"
tt0948470,"action, fantasy, scifi"
tt1877889,"animation, scifi, action, family, thriller, horror, fantasy, crime, comedy, drama"
tt1345836,"thriller, action, drama, crime"
tt1229238,"thriller, action"
tt1826940,"comedy, romance"
tt1983079,"family, drama, history, european"
tt2085059,"drama, scifi, thriller, european"
tt1615147,"thriller, drama"
tt1853728,"western, drama"
tt1836037,"drama, western, crime, action"
tt2098220,"action, animation, comedy, fantasy"
tt1865740,reality
tt1707386,"drama, history, romance, war"
tt1024648,"thriller, drama"
tt2216156,"drama, comedy, romance, european"
tt2359704,"scifi, animation, action, comedy, drama, fantasy, horror, thriller"
tt1302011,"animation, family, comedy, fantasy, drama, action"
tt1598778,"drama, thriller, scifi, action"
tt2193021,"action, crime, drama, thriller, scifi"
tt1871731,"animation, comedy, family, scifi, action, fantasy, european"
tt2250192,"scifi, action, animation, drama, western, fantasy, thriller, romance, comedy"
tt1695360,"animation, drama, family, scifi, action, fantasy, comedy"
tt1515091,"action, crime, thriller"
tt1524137,"action, drama, crime, thriller"
tt1615065,"drama, thriller, crime, action"
tt1582457,"drama, crime, history, romance"
tt2314952,"comedy, animation, family"
tt1830379,"drama, crime, thriller, european"
tt1077368,"comedy, fantasy, horror"
tt1386703,"scifi, thriller, action, crime"
tt2139371,"scifi, action, animation, comedy, family"
tt1958961,"comedy, crime, drama"
tt0472181,"animation, family, action, comedy, fantasy"
tt1596346,"drama, family, sport"
tt1592873,"drama, comedy, romance"
tt1401152,"thriller, action, european"
tt1446192,"fantasy, action, family, animation, thriller, scifi, comedy, drama, european"
tt10349554,"reality, romance, documentation, comedy"
tt1648179,"action, comedy, sport"
tt2210479,"action, fantasy, animation, horror, war, drama"
tt1799631,"scifi, action, fantasy, horror, family, animation, drama"
tt2169245,documentation
tt2222352,"comedy, drama, european"
tt1979319,"action, drama, history, war"
tt1531663,"romance, comedy, drama"
tt2070649,drama
tt1973692,"comedy, drama, european"
tt5906984,"comedy, family, animation, drama, horror, thriller"
