revenue_id,budget,imdb_id,revenue,profit
214,22000000.0,tt0099653,505000000.0,483000000.0
215,28000000.0,tt0103639,504050219.0,476050219.0
216,100000000.0,tt0103064,520000000.0,420000000.0
217,22000000.0,tt0099348,424208848.0,402208848.0
218,35000000.0,tt0096895,411348924.0,376348924.0
219,19000000.0,tt0102926,272742922.0,253742922.0
220,1488423.0,tt0029583,184925486.0,183437063.0
221,25000000.0,tt0101414,377350553.0,352350553.0
222,2600000.0,tt0032910,84300000.0,81700000.0
223,14000000.0,tt0100405,463000000.0,449000000.0
224,6244087.0,tt0065214,638641.0,-5605446.0
225,7000000.0,tt0116282,60611975.0,53611975.0
226,4000000.0,tt0116514,16675000.0,12675000.0
227,4000000.0,tt0065421,55675257.0,51675257.0
228,30000000.0,tt0117381,102616183.0,72616183.0
229,12000000.0,tt0116414,4939939.0,-7060061.0
230,46000000.0,tt0115956,100860818.0,54860818.0
231,80000000.0,tt0117060,457696359.0,377696359.0
232,57000000.0,tt0116136,115267375.0,58267375.0
233,38000000.0,tt0116683,28921264.0,-9078736.0
234,13000000.0,tt0116269,9789900.0,-3210100.0
235,80000000.0,tt0117705,250200000.0,170200000.0
236,9000000.0,tt0062711,2500000.0,-6500000.0
237,25000000.0,tt0117104,10070000.0,-14930000.0
238,30000000.0,tt0117420,57400547.0,27400547.0
239,31000000.0,tt0095776,74151346.0,43151346.0
240,25530000.0,tt0116322,20080020.0,-5449980.0
241,35000000.0,tt0113362,15000000.0,-20000000.0
242,15000000.0,tt0115963,24769466.0,9769466.0
243,4800000.0,tt0117260,3014000.0,-1786000.0
244,75000000.0,tt0117500,335062621.0,260062621.0
245,92000000.0,tt0117998,494471524.0,402471524.0
246,25000000.0,tt0115571,14048372.0,-10951628.0
247,1800000.0,tt0057012,9440272.0,7640272.0
248,45000000.0,tt0117331,17300889.0,-27699111.0
249,50000000.0,tt0117765,113309743.0,63309743.0
250,45000000.0,tt0116669,58620973.0,13620973.0
251,4000000.0,tt0117951,16491080.0,12491080.0
252,75000000.0,tt0116629,816969268.0,741969268.0
253,55000000.0,tt0116277,18626419.0,-36373581.0
254,100000000.0,tt0116583,100138851.0,138851.0
255,47000000.0,tt0115798,102825796.0,55825796.0
256,27000000.0,tt0116778,25023434.0,-1976566.0
257,100000000.0,tt0116213,242295562.0,142295562.0
258,54000000.0,tt0117218,128769345.0,74769345.0
